Date,Bitcoin,Cardano,Ethereum,Waves
2021-04-12,56216.18359,1.275501,2237.136963,13.581653
2021-04-19,49004.25391,1.08825,2316.05957,12.891414
2021-04-26,56631.07813,1.326812,2952.056152,23.678234
2021-05-03,58232.31641,1.770562,3928.844727,31.626408
2021-05-10,46456.05859,2.309113,3587.506104,30.470177
2021-05-17,34770.58203,1.325436,2109.579834,14.819433
2021-05-24,35678.12891,1.577279,2390.30542,13.199347
2021-05-31,35862.37891,1.678248,2715.092773,16.412237
2021-06-07,39097.85938,1.558359,2508.391602,15.177042
2021-06-14,35698.29688,1.429188,2246.364502,17.632587
2021-06-21,34649.64453,1.335202,1978.894653,13.880935
2021-06-28,35287.78125,1.458184,2321.724121,16.886677
2021-07-05,34240.1875,1.348145,2139.664795,14.312876
2021-07-12,31796.81055,1.183698,1895.552124,13.20066
2021-07-19,35350.1875,1.228501,2191.373779,15.400426
2021-07-26,39974.89453,1.31773,2561.852051,15.80954
2021-08-02,43798.11719,1.42783,3013.732666,16.262749
2021-08-09,47047.00391,2.169153,3310.50415,24.923229
2021-08-16,49321.65234,2.713725,3242.115479,26.034267
2021-08-23,48829.83203,2.855986,3227.002686,24.82028
2021-08-30,51753.41016,2.910824,3952.133545,29.494286
2021-09-06,46063.26953,2.581727,3410.134521,32.133167
2021-09-13,47260.21875,2.282299,3329.447998,27.426136
2021-09-20,43208.53906,2.208495,3062.265381,23.654161
2021-09-27,48199.95313,2.252873,3418.358643,27.091663
2021-10-04,54771.57813,2.197214,3425.852783,26.387968
2021-10-11,61553.61719,2.156963,3847.104492,28.873249
2021-10-18,60930.83594,2.123435,4087.903076,28.070919
2021-10-25,61318.95703,1.965026,4288.074219,26.422768
2021-11-01,63326.98828,2.021872,4620.554688,25.448065
2021-11-08,65466.83984,2.040853,4626.358887,23.38279
2021-11-15,58730.47656,1.839763,4269.73291,21.513182
2021-11-22,57248.45703,1.592855,4294.453613,20.435286
2021-11-29,49368.84766,1.378105,4198.322754,19.234512
2021-12-06,50098.33594,1.347282,4134.453125,16.670242
2021-12-13,46707.01563,1.244661,3922.592529,16.12125
2021-12-20,50809.51563,1.456045,4067.328125,16.199305
2021-12-27,47345.21875,1.377584,3829.564941,15.402516
2022-01-03,41911.60156,1.17386,3157.751465,14.106014
2022-01-10,43113.87891,1.407251,3350.921875,14.296078
2022-01-17,36276.80469,1.122371,2535.039063,9.190088
2022-01-24,37917.60156,1.037473,2603.466553,9.266718
2022-01-31,42412.43359,1.144547,3057.476074,10.55119
2022-02-07,42197.51563,1.045819,2883.463379,9.441389
2022-02-14,38431.37891,0.932902,2628.648438,9.388651
2022-02-21,37709.78516,0.858335,2621.801758,11.194829
2022-02-28,38419.98438,0.823752,2555.037354,17.91811
2022-03-07,37849.66406,0.790995,2518.94458,26.597931
2022-03-14,41247.82422,0.877092,2860.459229,32.396019
2022-03-21,46820.49219,1.182148,3291.577637,32.471142
2022-03-28,46453.56641,1.190385,3385.157959,54.612747
