Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,2.290196,2.555564,2.260533,2.431770,2.431770,266434563
2019-06-17,2.431076,2.511686,2.311426,2.351527,2.351527,155440490
2019-06-24,2.353685,2.403623,1.825882,1.826635,1.826635,150343703
2019-07-01,1.825413,2.270297,1.719840,2.053699,2.053699,180361822
2019-07-08,2.055942,2.064922,1.471705,1.478241,1.478241,144603341
2019-07-15,1.479963,1.644074,1.351213,1.462785,1.462785,189523358
2019-07-22,1.463222,1.473771,1.313492,1.357299,1.357299,74430663
2019-07-29,1.356704,1.435694,1.329050,1.365568,1.365568,62141284
2019-08-05,1.365141,1.444310,1.277270,1.321563,1.321563,85393325
2019-08-12,1.321396,1.337118,1.153699,1.258325,1.258325,79461272
2019-08-19,1.258593,1.356627,1.171337,1.257876,1.257876,106288170
2019-08-26,1.258481,1.318417,1.080982,1.118619,1.118619,67981765
2019-09-02,1.119056,1.166140,1.046636,1.065136,1.065136,64619802
2019-09-09,1.065364,1.117760,1.009941,1.076731,1.076731,64003893
2019-09-16,1.076776,1.191014,0.981833,1.097789,1.097789,94647006
2019-09-23,1.097789,1.208854,0.790631,0.827751,0.827751,115028944
2019-09-30,0.825999,0.942909,0.800993,0.885606,0.885606,98704925
2019-10-07,0.884290,0.974880,0.834722,0.844789,0.844789,103272762
2019-10-14,0.844789,0.898565,0.790614,0.810827,0.810827,102996377
2019-10-21,0.810870,0.818841,0.702599,0.797863,0.797863,94313821
2019-10-28,0.798454,0.861435,0.771656,0.794972,0.794972,110225980
2019-11-04,0.794426,0.837959,0.754017,0.797494,0.797494,123930951
2019-11-11,0.797546,0.806969,0.761713,0.773747,0.773747,96960858
2019-11-18,0.774347,0.781252,0.585983,0.585983,0.585983,132700449
2019-11-25,0.585579,0.648834,0.539887,0.615029,0.615029,84552750
2019-12-02,0.615181,0.620030,0.555331,0.591028,0.591028,62156500
2019-12-09,0.591172,0.719219,0.526780,0.715646,0.715646,222122377
2019-12-16,0.716164,0.965104,0.691772,0.871579,0.871579,653176588
2019-12-23,0.869558,1.065709,0.836038,1.001089,1.001089,546567455
2019-12-30,0.999978,1.101750,0.891762,0.891762,0.891762,511592995
2020-01-06,0.891737,0.937154,0.806100,0.847656,0.847656,345861334
2020-01-13,0.847633,0.915337,0.835808,0.890454,0.890454,459468431
2020-01-20,0.889510,0.903825,0.839119,0.872567,0.872567,457155438
2020-01-27,0.873047,1.013618,0.858092,0.957189,0.957189,512818784
2020-02-03,0.957219,1.117545,0.951580,1.101068,1.101068,580732084
2020-02-10,1.101439,1.700730,1.101015,1.381638,1.381638,965452068
2020-02-17,1.380148,1.534695,1.219761,1.446016,1.446016,653700503
2020-02-24,1.446786,1.451047,1.114427,1.116520,1.116520,480085072
2020-03-02,1.116647,1.449246,1.102122,1.102122,1.102122,584136808
2020-03-09,1.103356,1.471213,0.618202,0.868088,0.868088,553367452
2020-03-16,0.867963,1.073250,0.693720,0.855080,0.855080,399971788
2020-03-23,0.854723,0.939145,0.777091,0.777387,0.777387,340099004
2020-03-30,0.776834,1.102942,0.774368,0.945443,0.945443,534034140
2020-04-06,0.945390,1.153848,0.943154,1.008789,1.008789,509352574
2020-04-13,1.008359,1.043161,0.951471,1.023046,1.023046,370000951
2020-04-20,1.022583,1.049921,0.954823,1.049520,1.049520,291428891
2020-04-27,1.050232,1.180608,1.043818,1.063828,1.063828,333291639
2020-05-04,1.063870,1.094808,0.937814,0.962157,0.962157,280403318
2020-05-11,0.961962,1.150936,0.917788,1.050608,1.050608,301726068
2020-05-18,1.050644,1.138183,0.998633,1.027938,1.027938,290450954
2020-05-25,1.025836,1.132805,1.016623,1.107574,1.107574,217179027
2020-06-01,1.107591,1.181646,1.089279,1.144640,1.144640,240868266
2020-06-08,1.144663,1.299035,1.137355,1.185137,1.185137,282486679
2020-06-15,1.185311,1.283995,1.101367,1.204733,1.204733,249253876
2020-06-22,1.204948,1.257700,1.109056,1.138584,1.138584,201317517
2020-06-29,1.138584,1.183295,1.107543,1.114787,1.114787,184410325
2020-07-06,1.114787,1.224317,1.113350,1.207074,1.207074,175993016
2020-07-13,1.207074,1.542386,1.172676,1.454234,1.454234,298431389
2020-07-20,1.454828,1.742239,1.414318,1.523455,1.523455,308149532
2020-07-27,1.522771,1.668168,1.391016,1.595878,1.595878,256516498
2020-08-03,1.594852,1.975422,1.579246,1.945036,1.945036,337810959
2020-08-10,1.945234,4.249226,1.805793,4.041768,4.041768,1297113635
2020-08-17,4.041768,4.761027,2.937240,3.501981,3.501981,1133930022
2020-08-24,3.502765,3.750117,3.004716,3.389542,3.389542,560307411
2020-08-31,3.387323,3.871740,2.178331,2.499308,2.499308,532944604
2020-09-07,2.499736,3.110409,2.263200,3.072870,3.072870,352380002
2020-09-14,3.072698,3.109475,2.357711,2.439366,2.439366,323035946
2020-09-21,2.439741,2.536441,2.132841,2.482394,2.482394,323079484
2020-09-28,2.483494,2.776683,2.335967,2.378189,2.378189,318770594
2020-10-05,2.380722,2.516141,2.091238,2.443590,2.443590,254639474
2020-10-12,2.443516,3.344733,2.429605,3.070424,3.070424,520408436
2020-10-19,3.070556,3.553292,2.831927,3.281851,3.281851,473493896
2020-10-26,3.281855,3.446650,2.961779,3.213810,3.213810,309001053
2020-11-02,3.213704,3.722968,3.057454,3.516135,3.516135,297267361
2020-11-09,3.516127,4.441555,3.446086,4.405723,4.405723,368498296
2020-11-16,4.405723,7.620727,4.368878,7.002892,7.002892,1004090160
2020-11-23,7.002931,8.506484,5.700322,7.027152,7.027152,849960353
2020-11-30,7.027714,8.677827,6.469828,8.437054,8.437054,675597435
2020-12-07,8.433688,9.300052,7.308472,8.621799,8.621799,864363611
2020-12-14,8.621782,8.809216,7.146430,7.195960,7.195960,641552316
2020-12-21,7.198107,7.618892,5.449477,6.393072,6.393072,829538425
2020-12-28,6.392633,7.620342,5.081525,5.513141,5.513141,865303107
2021-01-04,5.524975,6.909351,5.088736,6.510463,6.510463,1014129641
2021-01-11,6.515597,8.175389,5.038103,7.376166,7.376166,1190296282
2021-01-18,7.377341,8.161037,5.511955,7.003469,7.003469,924861473
2021-01-25,6.997968,7.296705,5.991673,6.515741,6.515741,621727119
2021-02-01,6.518491,8.864796,6.405186,8.067160,8.067160,957972316
2021-02-08,8.064199,13.271542,7.802263,11.876458,11.876458,1685675882
2021-02-15,11.843162,13.322275,9.916557,12.431597,12.431597,1261196471
2021-02-22,12.430194,12.437963,8.004645,8.880320,8.880320,908562932
2021-03-01,8.887991,10.515383,8.887991,10.119281,10.119281,617973449
2021-03-08,10.119061,10.834233,9.531750,9.832217,9.832217,558288937
2021-03-15,9.819289,10.777028,9.291982,9.995831,9.995831,604045103
2021-03-22,9.994196,13.720463,9.841832,11.899928,11.899928,1558201960
2021-03-29,11.901319,13.838140,11.577935,12.457552,12.457552,817406920
2021-04-05,12.469325,19.961317,11.965629,15.648116,15.648116,2103566430
2021-04-12,15.641880,17.131456,12.004979,13.581653,13.581653,1059044521
2021-04-19,13.595148,15.983761,11.117589,12.891414,12.891414,1329019942
2021-04-26,12.936100,24.754093,12.830689,23.678234,23.678234,2626385232
2021-05-03,23.786325,41.332836,23.718403,31.626408,31.626408,5016456496
2021-05-10,31.605549,38.692200,28.648800,30.470177,30.470177,2331409996
2021-05-17,30.459871,30.459871,11.888381,14.819433,14.819433,1816737220
2021-05-24,14.788909,17.944389,12.040146,13.199347,13.199347,1477622771
2021-05-31,13.309427,16.669077,12.158598,16.412237,16.412237,1456236165
2021-06-07,16.312893,16.681553,12.836180,15.177042,15.177042,1120905191
2021-06-14,15.179728,18.954657,14.846943,17.632587,17.632587,1218124020
2021-06-21,17.792528,17.877981,11.462654,13.880935,13.880935,1156945330
2021-06-28,13.866174,17.842630,13.548497,16.886677,16.886677,1003033869
2021-07-05,16.897373,17.365662,13.856824,14.312876,14.312876,753842324
2021-07-12,14.308642,14.464022,12.699995,13.200660,13.200660,672813408
2021-07-19,13.191706,16.179228,11.676932,15.400426,15.400426,1097166781
2021-07-26,15.404420,17.176598,14.342305,15.809540,15.809540,1073294216
2021-08-02,15.834929,17.571192,15.496941,16.262749,16.262749,737714133
2021-08-09,16.258282,27.393499,15.893865,24.923229,24.923229,2412058977
2021-08-16,24.922249,27.459541,21.311527,26.034267,26.034267,1673105188
2021-08-23,26.030544,26.800678,22.330618,24.820280,24.820280,1045782831
2021-08-30,24.827692,31.422066,24.762844,29.494286,29.494286,1728965103
2021-09-06,29.483019,34.809341,21.595493,32.133167,32.133167,2333136248
2021-09-13,32.134521,34.707531,27.042372,27.426136,27.426136,1140631456
2021-09-20,27.420242,27.446239,21.028627,23.654161,23.654161,1214969503
2021-09-27,23.687099,28.422394,22.585234,27.091663,27.091663,929348386
2021-10-04,27.073584,28.950773,25.500748,26.387968,26.387968,800659814
2021-10-11,26.370808,34.560745,25.897787,28.873249,28.873249,1535844213
2021-10-18,28.872738,29.781210,27.179287,28.070919,28.070919,619169558
2021-10-25,28.078089,32.286732,24.542582,26.422768,26.422768,1102810655
2021-11-01,26.450050,27.393057,24.582861,25.448065,25.448065,722971330
2021-11-08,25.451532,26.418665,22.537386,23.382790,23.382790,689751521
2021-11-15,23.395714,24.521420,19.690907,21.513182,21.513182,835153430
2021-11-22,21.531212,21.543327,18.314522,20.435286,20.435286,627657536
2021-11-29,20.467505,23.382507,15.257712,19.234512,19.234512,860829915
2021-12-06,19.246044,21.282564,15.367189,16.670242,16.670242,732772399
2021-12-13,16.622519,20.080643,13.978279,16.121250,16.121250,1349870406
2021-12-20,16.140530,16.736481,14.926214,16.199305,16.199305,763651500
2021-12-27,16.189837,16.994543,13.960517,15.402516,15.402516,677116910
2022-01-03,15.401780,16.269527,13.078637,14.106014,14.106014,670178947
2022-01-10,14.105161,14.943756,12.948022,14.296078,14.296078,618555339
2022-01-17,14.296980,14.306436,8.220799,9.190088,9.190088,743515747
2022-01-24,9.191008,11.658471,7.637457,9.266718,9.266718,1444397471
2022-01-31,null,null,null,null,null,null
